#longitude	latitude	city
21.678700	48.469000	1914
20.950000	49.050000	1030
20.876900	49.263400	1057
20.750000	49.216700	1589
20.526900	49.415200	1788
20.883300	49.616700	1438
20.844600	49.679000	895
21.005900	49.727300	187
20.660700	49.853200	1868
20.331900	49.930500	966
20.166700	50.016700	365
20.450000	50.050000	613
20.186400	50.217000	1264
20.566700	50.450000	912
20.739800	50.508800	525
21.157300	50.379400	2057
20.818200	50.239900	1995
21.683300	50.283300	1858
21.783100	50.656800	1857
21.439200	51.009300	1626
21.482800	51.316300	254
22.172600	51.345100	256
23.438600	51.348800	1997
22.573000	51.705800	2002
22.220600	52.167800	752
21.150000	51.833300	647
21.295300	51.663300	1102
20.907800	51.669300	1429
20.480600	51.939400	1207
19.972800	52.026400	208
19.550800	51.883900	2043
19.289200	51.959800	1331
20.013700	51.132200	1965
20.187900	50.991300	1166
19.233300	50.466700	1697
18.599000	50.715600	951
18.340100	50.510700	499
19.160900	51.295700	1447
19.103700	51.422100	1437
19.212300	51.536800	1370
17.706600	51.858100	1386
17.948500	52.047800	182
16.761100	52.280100	1856
16.301300	52.007300	1434
16.482300	51.804800	1436
16.220400	51.280100	1155
15.698800	51.181300	1459
15.916700	51.116700	2055
15.385300	50.511900	1388
15.521100	50.388500	1392
15.019700	50.283900	973
14.950000	50.300000	1063
14.889300	50.351300	1765
14.847200	50.144100	1755
14.247800	50.361700	1993
13.843000	50.633100	1431
13.836000	50.451200	1010
13.516700	50.333300	1012
14.072600	50.409700	1462
14.086400	50.321800	786
14.566700	50.183300	1721
14.539300	50.048900	733
14.683300	50.116700	1255
15.017100	49.911700	373
15.758700	49.407600	1925
15.158200	49.362300	238
15.450000	48.800000	1016
16.493000	49.356600	1948
17.066700	49.366700	1726
17.066700	49.283300	715
17.416700	49.233300	1775
17.491600	49.381000	1751
16.033300	50.883300	1346
16.662100	50.818100	789
17.776500	50.493600	1723
17.937300	50.337000	185
17.787000	49.897000	474
17.709400	49.898900	1164
17.299800	49.820800	749
18.169900	49.564900	1014
18.686900	49.421000	1756
17.800000	48.900000	1114
18.515300	48.659700	276
18.175100	48.517800	1269
17.938700	48.308400	1915
17.733300	48.316700	1901
17.257400	46.765800	858
16.764000	46.780300	1227
18.335800	45.683300	1827
18.783100	45.455600	1841
19.058600	45.236100	281
18.716700	46.016700	420
18.858200	46.573100	1075
18.506300	47.102700	168
19.433300	47.300000	1184
19.002200	46.640000	493
17.937200	45.696100	413
18.060000	45.579200	1621
17.705000	45.218900	485
17.623100	45.278900	1716
16.809400	45.176700	903
16.200000	44.466700	1514
16.083300	43.566700	1478
16.571400	43.571900	921
16.341100	43.355300	642
13.625500	43.492000	1285
